               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.022511,           0.0078276,           0.0021082,             0.93723,             0.89547,             0.93561,             0.72372,            0.021863,           0.0045664,           0.0017798,           0.0088219,           0.0088219,           0.0088219
                 121,            0.023389,           0.0071117,           0.0021879,              0.9063,             0.92686,             0.95664,              0.7434,            0.022605,           0.0043964,           0.0023118,            0.008812,            0.008812,            0.008812
                 122,            0.023904,           0.0081443,           0.0023967,             0.91444,             0.88947,             0.92631,             0.67109,            0.023491,           0.0046296,           0.0020368,           0.0088021,           0.0088021,           0.0088021
                 123,            0.022446,           0.0083783,           0.0020682,             0.90841,             0.92888,             0.96281,             0.73987,            0.021981,           0.0044953,           0.0022026,           0.0087922,           0.0087922,           0.0087922
                 124,            0.022345,           0.0088226,           0.0026211,             0.94237,             0.90581,             0.95363,             0.73147,            0.022156,           0.0050614,           0.0023237,           0.0087823,           0.0087823,           0.0087823
                 125,            0.021047,           0.0082126,           0.0014722,             0.93278,             0.92402,             0.95616,             0.72747,            0.020639,           0.0045069,           0.0025923,           0.0087724,           0.0087724,           0.0087724
                 126,            0.023457,           0.0078727,           0.0013691,             0.93634,             0.89369,             0.95723,             0.70771,            0.021619,            0.004597,           0.0026536,           0.0087625,           0.0087625,           0.0087625
                 127,            0.021799,           0.0076541,           0.0019746,             0.95113,              0.8651,             0.95364,             0.73002,            0.021167,           0.0046611,           0.0021399,           0.0087526,           0.0087526,           0.0087526
                 128,            0.023055,           0.0075888,           0.0017153,             0.91046,             0.86351,              0.9444,             0.71367,            0.020439,           0.0050128,           0.0020846,           0.0087427,           0.0087427,           0.0087427
                 129,            0.022058,           0.0083691,           0.0018695,             0.94374,             0.88992,              0.9412,             0.71384,             0.02124,           0.0046999,           0.0017019,           0.0087328,           0.0087328,           0.0087328
                 130,            0.021975,           0.0077362,           0.0018131,             0.91967,             0.93567,             0.95958,             0.73733,            0.021188,              0.0044,           0.0016331,           0.0087229,           0.0087229,           0.0087229
                 131,            0.021884,           0.0080034,           0.0016628,             0.93736,             0.93737,             0.95769,             0.73186,            0.020294,           0.0043291,           0.0013728,            0.008713,            0.008713,            0.008713
                 132,            0.021458,           0.0074712,           0.0017499,              0.9261,             0.95082,             0.96599,             0.73809,            0.020854,           0.0043499,           0.0012481,           0.0087031,           0.0087031,           0.0087031
                 133,            0.022177,           0.0076136,           0.0018402,             0.91906,             0.94784,              0.9605,             0.73445,            0.021572,           0.0045298,            0.001337,           0.0086932,           0.0086932,           0.0086932
                 134,            0.022903,           0.0075485,           0.0018191,             0.94683,             0.92851,             0.95158,              0.7344,              0.0209,           0.0045742,           0.0015855,           0.0086833,           0.0086833,           0.0086833
                 135,            0.022477,           0.0074662,           0.0019512,             0.87612,               0.931,             0.94538,             0.73713,            0.021008,           0.0044922,           0.0013375,           0.0086734,           0.0086734,           0.0086734
                 136,            0.022966,           0.0075992,           0.0018905,             0.94289,              0.8874,             0.95344,             0.72758,            0.021628,           0.0046432,           0.0015114,           0.0086635,           0.0086635,           0.0086635
                 137,            0.021833,           0.0087649,            0.002591,             0.94726,             0.93292,             0.94641,             0.73054,            0.022025,           0.0049323,           0.0014021,           0.0086536,           0.0086536,           0.0086536
